ลำดับที่,สำนักงานชลประทาน,สถานี,ชื่อสถานี,Code,ลุ่มน้ำ,แม่น้ำ,อำเภอ,จังหวัด,"ระดับตลิ่ง
(เมตร)","ความจุฯ
ลบ.ม/วิ","ศูนย์เสาระดับ
ม.(ร.ท.ก.)"
236,สำนักงานชลประทานที่ 8,M.110,ดอนใหญ่ใต้,,น้ำมูล,ห้วยตุงลุง,ศรีเมืองใหม่,บุรีรัมย์,,,
237,สำนักงานชลประทานที่ 5,M.112,โคกใหญ่,,น้ำมูล,ห้วยตะโคง,สตึก,อุบลราชธานี,,,
238,สำนักงานชลประทานที่ 8,M.119,โคกสะแกราช,,น้ำมูล,ลำเชียงสา,ปักธงชัย,นครราชสีมา,,,
239,สำนักงานชลประทานที่ 8,M.124,โนน,,น้ำมูล,ห้วยตะกั่ว,ใหม่ไชยพจน์,บุรีรัมย์,,,
240,สำนักงานชลประทานที่ 8,M.125,ห้วยไฮ,,น้ำมูล,ห้วยแอก,ใหม่ไชยพจน์,บุรีรัมย์,,,
241,สำนักงานชลประทานที่ 5,M.127,นาไฮ,,น้ำมูล,ห้วยตาเทียว,ตระการพืชผล,อุบลราชธานี,,,
242,สำนักงานชลประทานที่ 5,M.132,โหมน,,น้ำมูล,ห้วยสะพือ,ตระการพืชผล,อุบลราชธานี,,,
243,สำนักงานชลประทานที่ 8,M.137,ระกา,,น้ำมูล,ห้วยเหนือ,ขุขันธ์,ศรีสะเกษ,,,
244,สำนักงานชลประทานที่ 8,M.142,โดนอาวร์,,น้ำมูล,ห้วยขยุง,กันทรลักษ์,ศรีสะเกษ,,,
245,สำนักงานชลประทานที่ 8,M.143,หนองใหญ่,,น้ำมูล,ห้วยสังกด,กันทรลักษ์,ศรีสะเกษ,,,
246,สำนักงานชลประทานที่ 8,M.145,วังตะเคียนทอง,,น้ำมูล,ลำพระเพลิง,ปากช่อง,นครราชสีมา,,,
247,สำนักงานชลประทานที่ 7,M.152,โพนทองน้อย,,น้ำมูล,ห้วยบอน,น้ำยืน,อุบลราชธานี,,,
248,สำนักงานชลประทานที่ 7,M.153,กุดเชียงหมุน,,น้ำมูล,ลำโดมใหญ่,น้ำยืน,อุบลราชธานี,,,
249,สำนักงานชลประทานที่ 7,M.154,นาจะหลวย,,น้ำมูล,ห้วยหลวง,นาจะหลวย,อุบลราชธานี,,,
250,สำนักงานชลประทานที่ 7,M.155,นาผือ,,น้ำมูล,ห้วยละโอง,เมืองอำนาจเจริญ,อำนาจเจริญ,,,
251,สำนักงานชลประทานที่ 7,M.156,นาผือ,,น้ำมูล,ห้วยบ้าน,เมืองอำนาจเจริญ,อำนาจเจริญ,,,
252,สำนักงานชลประทานที่ 7,M.157,นิคม,,น้ำมูล,ห้วยโพง,ป่าติ้ว,ยโสธร,,,
253,สำนักงานชลประทานที่ 8,M.159,หลุมดิน,,น้ำมูล,ลำชี,จอมพระ,สุรินทร์,,,
254,สำนักงานชลประทานที่ 7,M.160,โพนงาม,,น้ำมูล,ลำโดมน้อย,บุณฑริก,อุบลราชธานี,,,
255,สำนักงานชลประทานที่ 8,M.164,ตำบลในเมือง,,น้ำมูล,ลำตะคอง,เมือง,นครราชสีมา,3.5,35.0,174.1
256,สำนักงานชลประทานที่ 7,M.170,คำสำราญ,,น้ำมูล,ลำโดมใหญ่,เดชอุดม,อุบลราชธานี,,,
257,สำนักงานชลประทานที่ 8,M.171,โนนสาวเอ้,,น้ำมูล,ลำพระเพลิง,วังน้ำเขียว,นครราชสีมา,,,
258,สำนักงานชลประทานที่ 8,M.172,โนนสาวเอ้,,น้ำมูล,คลองไผ่,วังน้ำเขียว,นครราชสีมา,,,
259,สำนักงานชลประทานที่ 8,M.173,โนนสะอาด,,น้ำมูล,แม่น้ำมูล,โชคชัย,นครราชสีมา,7.6,290.0,174.8
260,สำนักงานชลประทานที่ 8,M.174,โนนสมบูรณ์,,น้ำมูล,ลำสะแทด,เมืองยาง,นครราชสีมา,,,
261,สำนักงานชลประทานที่ 6,M.175,หนองสาหร่าย,,น้ำมูล,ลำพลับพลา,สุวรรณภูมิ,ร้อยเอ็ด,,,
262,สำนักงานชลประทานที่ 8,M.176,โนนศรีไคล,,น้ำมูล,ห้วยขะยุง,กันทรารมย์,ศรีสะเกษ,,,
263,สำนักงานชลประทานที่ 8,M.177,โนนสว่าง,,น้ำมูล,ลำตะคอง,สีคิ้ว,นครราชสีมา,6.6,110.0,236.7
264,สำนักงานชลประทานที่ 7,M.178,หนองเต่า,,น้ำมูล,ห้วยขุหลุ,ตระการพืชผล,อุบลราชธานี,,,
265,สำนักงานชลประทานที่ 7,M.179A,ป่าก่อ,,น้ำมูล,ลำเซบาย,เขื่องใน,อุบลราชธานี,,,
266,สำนักงานชลประทานที่ 8,M.180,ท่าเยี่ยม,,น้ำมูล,ลำพระเพลิง,ปักธงชัย,นครราชสีมา,,,
267,สำนักงานชลประทานที่ 7,M.181,ท่าวังยาง,,น้ำมูล,แม่น้ำมูล,วารินชำราบ,อุบลราชธานี,,,
268,สำนักงานชลประทานที่ 8,M.182,สีถาน,,น้ำมูล,แม่น้ำมูล,กันทรารมย์,ศรีสะเกษ,,,
269,สำนักงานชลประทานที่ 8,M.183B,หินเพิง,,น้ำมูล,ห้วยหินลับ,ปากช่อง,นครราชสีมา,,,
270,สำนักงานชลประทานที่ 8,M.184,ซึม,,น้ำมูล,แม่น้ำมูล,พิมาย,นครราชสีมา,5.3,132.0,150.0
271,สำนักงานชลประทานที่ 8,M.185A,ไผ่น้อย,,น้ำมูล,ลำปลายมาศ,ลำปลายมาศ,บุรีรัมย์,,,
272,สำนักงานชลประทานที่ 8,M.186,โนนคอย,,น้ำมูล,ลำจักราช,จักราช,นครราชสีมา,,,
273,สำนักงานชลประทานที่ 8,M.187,ใกล้สถานีประมงน้ำจืด,,น้ำมูล,ห้วยเสนง,เมืองสุรินทร์,สุรินทร์,,,
274,สำนักงานชลประทานที่ 8,M.188A,บัว,,น้ำมูล,ลำเชียงไกร,โนนสูง,นครราชสีมา,,,
275,สำนักงานชลประทานที่ 8,M.190,ขวาว,,น้ำมูล,ห้วยสำราญ,อุทุมพรพิสัย,ศรีสะเกษ,7.6,220.0,119.7
276,สำนักงานชลประทานที่ 8,M.191,โคกกรวด,,น้ำมูล,ลำตะคอง,เมืองนครราชสีมา,นครราชสีมา,3.5,35.0,191.8
277,สำนักงานชลประทานที่ 8,M.192,โนนค่า,,น้ำมูล,ห้วยไผ่,ขามทะเลสอ,นครราชสีมา,,,
278,สำนักงานชลประทานที่ 8,M.193,บ้านกอก,,น้ำมูล,แม่น้ำมูล,กันทรารมย์,จ.ศรีสะเกษ,,,
279,สำนักงานชลประทานที่ 8,M.194,บ้านเมืองที,,น้ำมูล,แม่น้ำมูล,โนนสูง,นครราชสีมา,,,
280,สำนักงานชลประทานที่ 8,M.195,บ้านสำเร็จ,,น้ำมูล,แม่น้ำมูล,พิมาย,นครราชสีมา,,,
281,สำนักงานชลประทานที่ 8,M.196,บ้านอังกัญโพธิ์,,น้ำมูล,ห้วยเสนง,ปราสาท,สุรินทร์,,,
282,สำนักงานชลประทานที่ 8,M.197,บ้านสี่เหลี่ยม,,น้ำมูล,ห้วยโตง,ปราสาท,สุรินทร์,,,
283,สำนักงานชลประทานที่ 8,M.198,บ้านสุขสำราญ,,น้ำมูล,ลำปลายมาศ,ปะคำ,บุรีรัมย์,,,
284,สำนักงานชลประทานที่ 7,E.98,บ้านแดงหม้อ,,,แม่น้ำชี,เขื่องใน,อุบลราชธานี,,,
285,สำนักงานชลประทานที่ 12,T.11,บ้านผาทั่ง,,ท่าจีน,ห้วยกระเสียว,บ้านไร่,อุทัยธานี,,,
286,สำนักงานชลประทานที่ 3,P.17,บ้านท่างิ้ว,,น้ำปิง,แม่น้ำปิง,บรรพตพิสัย,นครสวรรค์,,,
287,สำนักงานชลประทานที่ 3,N.14A,วัดหลวงพ่อแก้ว,,น้ำน่าน,แม่น้ำน่าน,ชุมแสง,นครสวรรค์,,,
288,สำนักงานชลประทานที่ 3,N.37,บ้านทับกฤช,,น้ำน่าน,แม่น้ำน่าน,ชุมแสง,นครสวรรค์,,,
289,สำนักงานชลประทานที่ 3,N.67,วัดเกยไชยเหนือ,,น้ำน่าน,แม่น้ำน่าน,ชุมแสง,นครสวรรค์,,,
290,สำนักงานชลประทานที่ 3,N.76,บ้านหนองขอน,,น้ำน่าน,คลองห้วยชัน,ชุมแสง,นครสวรรค์,,,
291,สำนักงานชลประทานที่ 3,N.77,บ้านคลองคล้า,,น้ำน่าน,คลองท่ามะนาว,ชุมแสง,นครสวรรค์,,,
292,สำนักงานชลประทานที่ 3,N.78,บ้านหนองเต่าใต้,,น้ำน่าน,คลองบ้านบึง,เก้าเลี้ยว,นครสวรรค์,,,
293,สำนักงานชลประทานที่ 3,N.79,บ้านยางใหญ่,,น้ำน่าน,คลองห้วยรั้ว,เก้าเลี้ยว,นครสวรรค์,,,
294,สำนักงานชลประทานที่ 3,N.80,บ้านบางพระหลวง,,น้ำน่าน,คลองเกรียงไกร,ชุมแสง,นครสวรรค์,,,
295,สำนักงานชลประทานที่ 3,N.85,สะพานแควใหญ่พัฒนา,,น้ำน่าน,แม่น้ำน่าน,เมืองนครสวรรค์,นครสวรรค์,,,
296,สำนักงานชลประทานที่ 3,C.2,ค่ายจิรประวัติ,,เจ้าพระยา,แม่น้ำเจ้าพระยา,เมืองนครสวรรค์,นครสวรรค์,25.7,3600.0,0.0
297,สำนักงานชลประทานที่ 12,C.3,บ้านบางพุดทรา,,เจ้าพระยา,แม่น้ำเจ้าพระยา,เมืองสิงห์บุรี,สิงห์บุรี,13.4,3145.0,0.0
298,สำนักงานชลประทานที่ 12,C.7A,บ้านบางแก้ว,,เจ้าพระยา,แม่น้ำเจ้าพระยา,เมืองอ่างทอง,อ่างทอง,10.0,2875.0,0.0
299,,C.12,กรมชลประทานสามเสน,,เจ้าพระยา,แม่น้ำเจ้าพระยา,เขตดุสิต,กรุงเทพมหานคร,,,
300,สำนักงานชลประทานที่ 12,C.13,ท้ายเขื่อนเจ้าพระยา,,เจ้าพระยา,แม่น้ำเจ้าพระยา,สรรพยา,ชัยนาท,16.34,2730.0,0.0
301,สำนักงานชลประทานที่ 11,C.22A,กรมชลประทานปากเกร็ด,,เจ้าพระยา,แม่น้ำเจ้าพระยา,ปากเกร็ด,นนทบุรี,,,
302,สำนักงานชลประทานที่ 12,C.28A,บ้านอิฐ,,เจ้าพระยา,คลองบางแก้ว,เมืองอ่างทอง,อ่างทอง,,,
303,สำนักงานชลประทานที่ 10,C.29A,ศูนย์ศิลปาชีพบางไทร,,เจ้าพระยา,แม่น้ำเจ้าพระยา,บางไทร,พระนครศรีอยุธยา,,,
304,สำนักงานชลประทานที่ 10,C.35,บ้านป้อม,,เจ้าพระยา,แม่น้ำเจ้าพระยา,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.35,1178.0,0.0
305,สำนักงานชลประทานที่ 10,C.36,บ้านบางหลวงโดด,,เจ้าพระยา,คลองบางหลวง,บางบาล,พระนครศรีอยุธยา,,,
306,สำนักงานชลประทานที่ 10,C.37,บ้านบางบาล,,เจ้าพระยา,คลองบางบาล,บางบาล,พระนครศรีอยุธยา,,,
307,สำนักงานชลประทานที่ 11,C.38,โรงเรียนคณะราษฎร์บำรุง,,เจ้าพระยา,แม่น้ำเจ้าพระยา,เมืองปทุมธานี,ปทุมธานี,,,
308,สำนักงานชลประทานที่ 12,C.44,บ้านอินทร์บุรี,,เจ้าพระยา,แม่น้ำเจ้าพระยา,อินทร์บุรี,สิงห์บุรี,,,
309,สำนักงานชลประทานที่ 12,C.45,บ้านบางน้ำเชี่ยว,,เจ้าพระยา,แม่น้ำเจ้าพระยา,พรหมบุรี,สิงห์บุรี,,,
310,สำนักงานชลประทานที่ 12,C.46,บ้านไชโย,,เจ้าพระยา,แม่น้ำเจ้าพระยา,ไชโย,อ่างทอง,,,
311,สำนักงานชลประทานที่ 12,C.47,บ้านป่าโมก,,เจ้าพระยา,แม่น้ำเจ้าพระยา,ป่าโมก,อ่างทอง,,,
312,สำนักงานชลประทานที่ 3,C.56,บ้านท่าน้ำอ้อย,,เจ้าพระยา,แม่น้ำเจ้าพระยา,พยุหะคีร,นครสวรรค์,,,
313,สำนักงานชลประทานที่ 12,C.58,บ้านหนองบัว,,เจ้าพระยา,คลองกระทง,วัดสิงห์,ชัยนาท,,,
314,สำนักงานชลประทานที่ 3,C.60,บ้านท่าตะโก,,เจ้าพระยา,คลองท่าตะโก,ท่าตะโก,นครสวรรค์,,,
315,สำนักงานชลประทานที่ 3,C.64,ท่าข้ากำนันทรง,,เจ้าพระยา,บึงบอระเพ็ด,เมืองนครสวรรค์,นครสวรรค์,,,
316,สำนักงานชลประทานที่ 3,C.65,สะพานบางประมุง,,เจ้าพระยา,คลองบางประมุง,โกรกพระ,นครสวรรค์,,,
317,สำนักงานชลประทานที่ 12,C.66,สะพานโคกจันทร์,,เจ้าพระยา,แม่น้ำเจ้าพระยา,สรรพยา,ชัยนาท,,,
318,สำนักงานชลประทานที่ 10,C.67,หัวเวียง,,เจ้าพระยา,แม่น้ำน้อย,เสนา,พระนครศรีอยุธยา,,,
319,สำนักงานชลประทานที่ 10,C.68,เสนา,,เจ้าพระยา,แม่น้ำน้อย,เสนา,พระนครศรีอยุธยา,,,
320,สำนักงานชลประทานที่ 12,Ct.2A,บ้านหาดทนง,,สะแกกรัง,แม่น้ำสะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,21.34,616.0,0.0
321,สำนักงานชลประทานที่ 3,Ct.4,บ้านศาลเจ้าไก่ต่อ,,สะแกกรัง,น้ำแม่วงก์,ลาดยาว,นครสวรรค์,71.0,168.0,0.0
322,สำนักงานชลประทานที่ 4,Ct.5A,บ้านปางมะค่า,,สะแกกรัง,น้ำแม่วงก์,ขาณุวรลักษบุรี,ก้าแพงเพชร,106.86,234.0,0.0
323,สำนักงานชลประทานที่ 3,Ct.7,บ้านใหม่คลองเจริญ,,สะแกกรัง,คลองโพธิ์,แม่เปิน,นครสวรรค์,,,
324,สำนักงานชลประทานที่ 12,Ct.8,บ้านโคกหม้อ,,สะแกกรัง,น้ำแม่วงก์,ทัพทัน,อุทัยธานี,33.5,280.0,0.0
325,สำนักงานชลประทานที่ 12,Ct.9,บ้านบุ่งอ้ายเจี้ยม,,สะแกกรัง,ห้วยทับเสลา,ลานสัก,อุทัยธานี,,,
326,สำนักงานชลประทานที่ 12,Ct.19,บ้านดอนใหญ่,,สะแกกรัง,ห้วยตากแดด,เมืองอุทัยธานี,อุทัยธานี,24.35,510.0,0.0
327,สำนักงานชลประทานที่ 12,Ct.20,บ้านสะพานเหล็ก,,สะแกกรัง,ห้วยทับเสลา,ลานสัก,อุทัยธานี,,,
328,สำนักงานชลประทานที่ 12,Ct.21,บ้านบึงโคกช้าง,,สะแกกรัง,ห้วยก้านยาว,สว่างอารมณ,อุทัยธานี,,,
329,สำนักงานชลประทานที่ 12,Ct.22,บ้านหมกแถว,,สะแกกรัง,ห้วยขวี,หนองขาหย่าง,อุทัยธานี,,,
330,สำนักงานชลประทานที่ 12,Ct.23,บ้านห้วยรัง,,สะแกกรัง,ห้วยรัง,ลานสัก,อุทัยธานี,,,
331,สำนักงานชลประทานที่ 12,Ct.24,บ้านจักษา,,สะแกกรัง,คลองระแวง,เมืองอุทัยธานี,อุทัยธานี,,,
332,สำนักงานชลประทานที่ 12,Ct.25,สะพานวังร่มเกล้า,,สะแกกรัง,แม่น้ำสะแกกรัง,ทัพทัน,อุทัยธานี,,,
333,สำนักงานชลประทานที่ 10,S.5,สะพานปรีดี-ธ้ารง,,ป่าสัก,แม่น้ำป่าสัก,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.7,1400.0,0.0
334,สำนักงานชลประทานที่ 10,S.7A,วัดท่าระหัด,,ป่าสัก,ลำมวกเหล็ก,พัฒนานิคม,สระบุรี,,,
335,สำนักงานชลประทานที่ 10,S.9,บ้านป่า,,ป่าสัก,แม่น้ำป่าสัก,แก่งคอย,สระบุรี,22.56,1740.0,0.0
336,สำนักงานชลประทานที่ 10,S.14,บ้านท่ารวก,,ป่าสัก,ล้าสนธิ,ชัยบาดาล,ลพบุรี,,,
337,สำนักงานชลประทานที่ 10,S.26,ท้ายเขื่อนพระรามหก,,ป่าสัก,แม่น้ำป่าสัก,ท่าเรือ,พระนครศรีอยุธยา,7.2,657.0,0.0
338,สำนักงานชลประทานที่ 10,S.28,ท้ายเขื่อนป่าสักชลสิทธิ์,,ป่าสัก,แม่น้ำป่าสัก,พัฒนานิคม,ลพบุรี,31.46,1195.0,0.0
339,สำนักงานชลประทานที่ 10,S.32,สถานีแพดับเพลิง,,ป่าสัก,แม่น้ำป่าสัก,เมืองสระบุรี,สระบุรี,12.8,973.0,0.0
340,สำนักงานชลประทานที่ 10,S.39,บ้านบัวชุม,,ป่าสัก,แม่น้ำป่าสัก,ชัยบาดาล,ลพบุรี,,,
341,สำนักงานชลประทานที่ 10,S.40,บ้านจงโก,,ป่าสัก,ลำสนธิ,ล้าสนธิ,ลพบุรี,,,
342,สำนักงานชลประทานที่ 10,S.43,บ้านพูลทรัพย์,,ป่าสัก,แม่น้ำป่าสัก,ชัยบาดาล,ลพบุรี,,,
343,สำนักงานชลประทานที่ 10,S.44,บ้านเสาไห้,,ป่าสัก,แม่น้ำป่าสัก,เสาไห้,สระบุรี,,,
344,สำนักงานชลประทานที่ 10,S.47,บ้านครัว,,ป่าสัก,คลองชัยนาท - ป่าสัก,ท่าลาน,สระบุรี,,,
345,สำนักงานชลประทานที่ 10,S.48,วัดท่าช้างใต้,,ป่าสัก,แม่น้ำป่าสัก,เสาไห้,สระบุรี,,,
346,สำนักงานชลประทานที่ 10,S.49,วัดหัวหิน,,ป่าสัก,แม่น้ำป่าสัก,ท่าเรือ,พระนครศรีอยุธยา,,,
347,สำนักงานชลประทานที่ 10,S.50,สะพานพรหมรังส,,ป่าสัก,แม่น้ำป่าสัก,ท่าเรือ,พระนครศรีอยุธยา,,,
348,สำนักงานชลประทานที่ 12,T.12A,บ้านทับหมัน,,ท่าจีน,ห้วยกระเสียว,ด่านช้าง,สุพรรณบุรี,,,
349,สำนักงานชลประทานที่ 12,C.51,บ้านกุดจอก,,ท่าจีน,ห้วยขุนแก้ว,หนองมะโมง,ชัยนาท,,,
350,สำนักงานชลประทานที่ 3,260311 (N.67),บ้านเกยไชยเหนือ,,น้ำน่าน,แม่น้ำน่าน,ชุมแสง,นครสวรรค์,,,
351,สำนักงานชลประทานที่ 12,040361 (C.13),เขื่อนเจ้าพระยา,,เจ้าพระยา,แม่น้ำเจ้าพระยา,สรรพยา,ชัยนาท,,,
352,สำนักงานชลประทานที่ 12,690251,,,สะแกกรัง,โครงการส่งน้ำฯทับเสลา,ลานสัก,อุทัยธานี,,,
353,สำนักงานชลประทานที่ 3,260451,บ้านเกาะใหญ่,,สะแกกรัง,บ้านเกาะใหญ่,แม่วงก์,นครสวรรค์,,,
354,สำนักงานชลประทานที่ 3,260461,บ้านธารมะยม,,สะแกกรัง,บ้านธารมะยม,แม่วงก์,นครสวรรค์,,,
355,สำนักงานชลประทานที่ 12,690371,ระบำ,,สะแกกรัง,ห้วยขาแข้ง,ลานสัก,อุทัยธานี,,,
356,สำนักงานชลประทานที่ 12,690151 (C.30),บ้านสมอทอง,,ท่าจีน,ห้วยขุนแก้ว,ห้วยคต,อุทัยธานี,,,
357,สำนักงานชลประทานที่ 12,040361 (C.30),เขื่อนเจ้าพระยา,,เจ้าพระยา,แม่น้ำเจ้าพระยา,สรรพยา,ชัยนาท,,,
358,สำนักงานชลประทานที่ 10,190620 (S.28),เขื่อนป่าสักชลสิทธิ์,,ป่าสัก,แม่น้ำป่าสัก,พัฒนานิคม,ลพบุรี,,,
359,สำนักงานชลประทานที่ 9,Kgt.18,บ้านท่ากลอย,,บางปะกง,คลองสียัด,ท่าตะเกียบ,ฉะเชิงเทรา,,,
360,สำนักงานชลประทานที่ 9,Kgt.44,บ้านแก่งไทร,,บางปะกง,คลองพระปรง,เมืองสระแก้ว,สระแก้ว,,,
361,สำนักงานชลประทานที่ 9,Kgt.45,บ้านตาเรืองล่าง,,บางปะกง,คลองพระสทึง,สอยดาว,จันทบุรี,,,
362,สำนักงานชลประทานที่ 9,Kgt.65,บ้านท่าพระจันทร,,บางปะกง,คลองพระปรง,วัฒนานคร,สระแก้ว,,,
363,สำนักงานชลประทานที่ 9,Kgt.66 ,บ้านแก่งดินสอ,,บางปะกง,คลองห้วยโสมง,นาดี,ปราจีนบุรี,,,
364,สำนักงานชลประทานที่ 9,Ny.4,น ้าตกเหวนรก,,บางปะกง,คลองท่าด่าน,ปากพลี,นครนายก,3.34,154.6,376.1
365,สำนักงานชลประทานที่ 9,Tl.4,บ้านคลองตาคง,,โตนเลสาป,คลองตาคง,โป่งน ้าร้อน,จันทบุรี,,,
366,สำนักงานชลประทานที่ 9,Tl.6,บ้านทุ่งกร่าง,,โตนเลสาป,คลองทุ่งกร่าง,โป่งน ้าร้อน,จันทบุรี,,,
367,สำนักงานชลประทานที่ 9,Z.18,บ้านช้าฆ้อ,,ชายฝั่งทะเลตะวันออก,คลองโพล้,เขาชะเมา,ระยอง,,,
368,สำนักงานชลประทานที่ 9,Z.46,บ้านนนทรีย์,,ชายฝั่งทะเลตะวันออก,คลองโสน,บ่อไร่,ตราด,,,
369,สำนักงานชลประทานที่ 9,Z.52,บ้านคลองยายไท,,ชายฝั่งทะเลตะวันออก,คลองพรานบุญ,แก่งหางแมว,จันทบุรี,,,
370,สำนักงานชลประทานที่ 9,Z.53,บ้านทุ่งตาอิน,,ชายฝั่งทะเลตะวันออก,แม่น้ำจันทบุรี,เขาคิชฌกูฏ,จันทบุรี,,,
371,สำนักงานชลประทานที่ 9,Z.55,บ้านวังจะอ้าย,,ชายฝั่งทะเลตะวันออก,แม่น้ำจันทบุรี,มะขาม,จันทบุรี,,,
372,สำนักงานชลประทานที่ 9,Z.56,บ้านตะบกเตี้ย,,ชายฝั่งทะเลตะวันออก,คลองทุ่งเพล,มะขาม,จันทบุรี,,,
373,สำนักงานชลประทานที่ 9,Kgt.1,สะพานณรงดำริ,,บางปะกง,แม่น้ำปราจีนบุรี,เมืองปราจีนบุรี,ปราจีนบุรี,4.13,698.0,0.0
374,สำนักงานชลประทานที่ 9,Kgt.3,สะพานต้นน้ำบางปะกง,,บางปะกง,แม่น้ำปราจีนบุรี,กบินทร์บุร,ปราจีนบุรี,8.79,483.2,0.0
375,สำนักงานชลประทานที่ 9,Kgt.6,บ้านทาม,,บางปะกง,แม่น้ำปราจีนบุรี,ศรีมหาโพธิ์,ปราจีนบุรี,6.61,0.0,0.0
376,สำนักงานชลประทานที่ 9,Kgt.9,บ้านเขาฉกรรจ์,,บางปะกง,คลองพระสทึง,เขาฉกรรจ์,สระแก้ว,,,
377,สำนักงานชลประทานที่ 9,Kgt.10,บ้านเนินผาสุก,,บางปะกง,คลองพระสทึง,เมืองสระแก้ว,สระแก้ว,,,
378,สำนักงานชลประทานที่ 9,Kgt.12A,บ้านแก้ง,,บางปะกง,คลองพระปรง,เมืองสระแก้ว,สระแก้ว,,,
379,สำนักงานชลประทานที่ 9,Kgt.13A,บ้านโนนสุขภูมิ,,บางปะกง,คลองพระปรง,กบินทร์บุร,ปราจีนบุรี,,,
380,สำนักงานชลประทานที่ 9,Kgt.14A,บ้านทุ่งแฝก,,บางปะกง,คลองยาง,นาดี,ปราจีนบุรี,,,
381,สำนักงานชลประทานที่ 9,Kgt.15B,บ้านแก่งดินสอ,,บางปะกง,คลองห้วยโสมง,นาดี,ปราจีนบุรี,,,
382,สำนักงานชลประทานที่ 9,Kgt.19A,บ้านท่าบุญมี,,บางปะกง,คลองหลวง,เกาะจันทร์,ชลบุรี,,,
383,สำนักงานชลประทานที่ 9,Kgt.30,สะพานหน้าสถานีดับเพลิงจังหวัด,,บางปะกง,แม่น้ำบางปะกง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,1.7,0.0,0.0
384,สำนักงานชลประทานที่ 9,Kgt.33,บ้านหนองแหน,,บางปะกง,แควน้ำใส,นาดี,ปราจีนบุรี,,,
385,สำนักงานชลประทานที่ 9,Kgt.34 ,บ้านชะอม,,บางปะกง,แควหนุมาน,นาดี,ปราจีนบุรี,,,
386,สำนักงานชลประทานที่ 9,Kgt.38,บ้านภูเงิน,,บางปะกง,คลองพระเพลิงใหญ่,เขาฉกรรจ์,สระแก้ว,,,
387,สำนักงานชลประทานที่ 9,Kgt.40,บ้านวังเจริญ,,บางปะกง,คลองพระสทึงตอนบน,วังสมบูรณ์,สระแก้ว,,,
388,สำนักงานชลประทานที่ 9,Kgt.42,บ้านท่าระพา,,บางปะกง,คลองพระสทึง,เมืองสระแก้ว,สระแก้ว,,,
389,สำนักงานชลประทานที่ 9,Kgt.43A,บ้านนาแขม,,บางปะกง,แควหนุมาน,กบินทร์บุร,ปราจีนบุรี,,,
390,สำนักงานชลประทานที่ 9,Kgt.47,บ้านด่านชัยพัฒนา,,บางปะกง,คลองพระสทึง,วังน้ำเย็น,สระแก้ว,,,
391,สำนักงานชลประทานที่ 9,Kgt.51,บ้านประจันตคาม,,บางปะกง,คลองประจันตคาม,ประจันตคาม,ปราจีนบุรี,,,
392,สำนักงานชลประทานที่ 9,Ny.1B,บ้านเขานางบวช,,บางปะกง,แม่น้ำนครนายก,เมืองนครนายก,นครนายก,8.81,226.6,0.0
393,สำนักงานชลประทานที่ 9,Ny.3,บ้านป่าขะ,,บางปะกง,คลองบ้านนา,บ้านนา,นครนายก,,,
394,สำนักงานชลประทานที่ 9,Ny.4,น้ำตกเหวนรก,,บางปะกง,คลองท่าด่าน,ปากพลี,นครนายก,,,
395,สำนักงานชลประทานที่ 10,Ny.6,บ้านชะอม,,บางปะกง,คลองบ้านนา,แก่งคอย,สระบุรี,,,
396,สำนักงานชลประทานที่ 9,Ny.7,สะพานหน้าจวนผู้ว่าฯ,,บางปะกง,แม่น้ำนครนายก,เมืองนครนายก,นครนายก,6.56,0.0,1.64
397,สำนักงานชลประทานที่ 9,Tl.3,บ้านพังงอน,,โตนเลสาป,คลองพระพุทธ,โป่งน้ำร้อน,จันทบุรี,,,
398,สำนักงานชลประทานที่ 9,Z.10,บ้านศรีบัวทอง,,ฝั่งทะเลตะวันออก,แม่น้ำเขาสมิง,เขาสมิง,ตราด,11.5,460.0,1.9
399,สำนักงานชลประทานที่ 9,Z.11,บ้านเขาวังไทร,,ฝั่งทะเลตะวันออก,คลองประแสร์,แกลง,ระยอง,,,
400,สำนักงานชลประทานที่ 9,Z.13,บ้านปึก,,ฝั่งทะเลตะวันออก,แม่น้ำจันทบุรี,มะขาม,จันทบุรี,6.02,220.4,6.3
401,สำนักงานชลประทานที่ 9,Z.14,บ้านฉมัน,,ฝั่งทะเลตะวันออก,คลองพยาธิ,มะขาม,จันทบุรี,,,
402,สำนักงานชลประทานที่ 9,Z.21,บ้านโป่งโรงเซ็น,,ฝั่งทะเลตะวันออก,คลองโป่ง,มะขาม,จันทบุรี,,,
403,สำนักงานชลประทานที่ 9,Z.28,บ้านขุนซ่อง,,ฝั่งทะเลตะวันออก,คลองโตนด,แก่งหางแมว,จันทบุรี,,,
404,สำนักงานชลประทานที่ 9,Z.30,บ้านหนองบัว,,ฝั่งทะเลตะวันออก,คลองสะตอ,เขาสมิง,ตราด,,,
405,สำนักงานชลประทานที่ 9,Z.38,บ้านเขาโบสถ,,ฝั่งทะเลตะวันออก,คลองทับมา,เมืองระยอง,ระยอง,,,
